service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
UTEISFE,1,1,1,1,1,0,0,20210322,20210404
SABFE,0,0,0,0,0,1,0,20210322,20210404
DOMFE,0,0,0,0,0,0,1,20210322,20210404
UTEIS,1,1,1,1,1,0,0,20210405,20210613
SAB,0,0,0,0,0,1,0,20210405,20210613
DOM,0,0,0,0,0,0,1,20210405,20210613
UTEISAGOST,1,1,1,1,1,0,0,20200803,20200913
SABAGOST,0,0,0,0,0,1,0,20200803,20200913
DOMAGOST,0,0,0,0,0,0,1,20200803,20200913
ELECUTEIS,1,1,1,1,1,0,0,20200606,20210613
ELECSAB,0,0,0,0,0,1,0,20200606,20210613
ELECDOM,0,0,0,0,0,0,1,20200606,20210613
