,Unnamed: 0,objectid_1,toponimo,n_id,estado,sinal_vert,sinal_info_vert,n_lugares,x,y,geometry
0,0,199,Rua de D. Pedro V,204,ATIVO,NAO,SIM,10,-8.630972406820455,41.14925222361455,POINT (-8.630972406820455 41.14925222361455)
1,1,32,Rua de D. Pedro V,35,ATIVO,NAO,SIM,10,-8.6324746693067,41.14749908119241,POINT (-8.6324746693067 41.14749908119241)
2,2,166,Rua do Passeio Alegre,171,ATIVO,NAO,SIM,10,-8.667406707628464,41.14755430699348,POINT (-8.667406707628464 41.14755430699348)
3,3,77,Rua do Passeio Alegre,79,ATIVO,NAO,SIM,10,-8.670062338817813,41.14850965851483,POINT (-8.670062338817813 41.14850965851483)
4,4,27,Esplanada do Castelo,30,ATIVO,NAO,SIM,10,-8.671515945551741,41.14898245215499,POINT (-8.671515945551741 41.14898245215499)
5,5,176,Rua 13 do Bairro da Rainha D. Leonor,181,ATIVO,NAO,SIM,10,-8.6622767717964,41.15008466434449,POINT (-8.6622767717964 41.15008466434449)
6,6,7,PFSCA0,8,ATIVO,,SIM,10,-8.591973414154554,41.16296106380526,POINT (-8.591973414154554 41.16296106380526)
7,7,18,PNABR0,21,ATIVO,,SIM,10,-8.611243879211136,41.1726253600669,POINT (-8.611243879211136 41.1726253600669)
8,8,3,RNALF0,4,ATIVO,,SIM,10,-8.61705290886118,41.14077650578711,POINT (-8.61705290886118 41.14077650578711)
9,9,136,REFDI0,140,ATIVO,,SIM,10,-8.643273467986122,41.17286053568972,POINT (-8.643273467986122 41.17286053568972)
10,10,2,PREPU0,3,ATIVO,,SIM,10,-8.613081443636224,41.15380780445347,POINT (-8.613081443636224 41.15380780445347)
11,11,1,PREPU0,2,ATIVO,,SIM,10,-8.61229964781167,41.15504386077856,POINT (-8.61229964781167 41.15504386077856)
12,12,125,RCAMO0,128,ATIVO,,SIM,20,-8.609935718430158,41.152318533045054,POINT (-8.609935718430158 41.152318533045054)
13,13,164,RJBAR0,169,ATIVO,,SIM,10,-8.66283178817902,41.15455273403011,POINT (-8.66283178817902 41.15455273403011)
14,14,119,RPJAS0,122,ATIVO,,SIM,10,-8.629013522330286,41.16114824217468,POINT (-8.629013522330286 41.16114824217468)
15,15,163,RJBAR0,168,ATIVO,,SIM,10,-8.66384680149657,41.15609769903509,POINT (-8.66384680149657 41.15609769903509)
16,16,19,PNABR0,22,ATIVO,,SIM,10,-8.612684944787157,41.1711031950915,POINT (-8.612684944787157 41.1711031950915)
17,17,131,RACBA0,135,ATIVO,,SIM,10,-8.649417452052129,41.16633183457272,POINT (-8.649417452052129 41.16633183457272)
18,18,66,RJVFE0,68,ATIVO,,SIM,10,-8.624384453344353,41.14780683729602,POINT (-8.624384453344353 41.14780683729602)
19,19,34,AGEIF0,37,ATIVO,,SIM,10,-8.604642422458435,41.14187092340428,POINT (-8.604642422458435 41.14187092340428)
20,20,95,RTANG0,97,ATIVO,SIM,SIM,10,-8.66304129327484,41.16329753677602,POINT (-8.66304129327484 41.16329753677602)
21,21,178,ABOAV0,183,ATIVO,SIM,SIM,10,-8.657953699520453,41.16261673455505,POINT (-8.657953699520453 41.16261673455505)
22,22,88,PMALB0,90,ATIVO,SIM,SIM,10,-8.629574309353062,41.15693467018552,POINT (-8.629574309353062 41.15693467018552)
23,23,165,Rua de João de Barros,170,ATIVO,NAO,SIM,10,-8.661933079230495,41.15324373963458,POINT (-8.661933079230495 41.15324373963458)
24,24,1017,PBOLH0,218,ATIVO,NAO,SIM,10,-8.606654251267887,41.15167979396585,POINT (-8.606654251267887 41.15167979396585)
25,25,138,REFDI0,142,ATIVO,,SIM,10,-8.648385119830186,41.17700716703576,POINT (-8.648385119830186 41.17700716703576)
26,26,47,ACAMI0,50,ATIVO,,SIM,10,-8.594742465408968,41.14885878513155,POINT (-8.594742465408968 41.14885878513155)
27,27,39,AEQUE0,42,ATIVO,,SIM,10,-8.593762087182089,41.16250148839499,POINT (-8.593762087182089 41.16250148839499)
28,28,38,RMAVE0,41,ATIVO,,SIM,10,-8.589040814013027,41.16175234894188,POINT (-8.589040814013027 41.16175234894188)
29,29,37,TANTA0,40,ATIVO,,SIM,10,-8.589425027952434,41.16003787820144,POINT (-8.589425027952434 41.16003787820144)
30,30,42,RALEG1,45,ATIVO,,SIM,10,-8.59876963115394,41.16497692082613,POINT (-8.59876963115394 41.16497692082613)
31,31,45,RSPOU0,48,ATIVO,,SIM,10,-8.599815537672598,41.15305581357608,POINT (-8.599815537672598 41.15305581357608)
32,32,33,Rua do Ouro,36,ATIVO,NAO,SIM,10,-8.644656956648458,41.148268167223975,POINT (-8.644656956648458 41.148268167223975)
33,33,31,Rua do Ouro,34,ATIVO,NAO,SIM,10,-8.65267657985475,41.14804505556112,POINT (-8.65267657985475 41.14804505556112)
34,34,30,Rua das Sobreiras,33,ATIVO,NAO,SIM,10,-8.656868374673184,41.14717484616373,POINT (-8.656868374673184 41.14717484616373)
35,35,28,Esplanada do Castelo,31,ATIVO,NAO,SIM,10,-8.675892288824432,41.14934843039875,POINT (-8.675892288824432 41.14934843039875)
36,36,15,RJACA1,16,ATIVO,,SIM,10,-8.601167824941887,41.17615973933665,POINT (-8.601167824941887 41.17615973933665)
37,37,35,RESTA0,38,ATIVO,,SIM,20,-8.586115369938954,41.14816691691671,POINT (-8.586115369938954 41.14816691691671)
38,38,36,RDSAV0,39,ATIVO,,SIM,10,-8.58995633524946,41.15113957265935,POINT (-8.58995633524946 41.15113957265935)
39,39,46,RSPOU0,49,ATIVO,,SIM,10,-8.600339498629442,41.15026188654049,POINT (-8.600339498629442 41.15026188654049)
40,40,43,RALES0,46,ATIVO,,SIM,10,-8.599355794868076,41.1697118949109,POINT (-8.599355794868076 41.1697118949109)
41,41,41,RBOLA0,44,ATIVO,,SIM,10,-8.603721304112744,41.16549539751097,POINT (-8.603721304112744 41.16549539751097)
